<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
NC33:MRG:2:250040089	-4.1202577E-5	-0.0283065	-0.00519108	5.009326E-4	-0.0019914948
NC336:MRG:2:250040052	0.13308714	0.043659292	-0.0076190955	0.012694395	0.01791929
NC338:C08L7ACXX:6:250047953	0.123637855	0.040658355	-0.0113967275	0.0072529204	0.013723919
NC340:MRG:2:250040057	0.1056566	0.026177486	-0.0040232535	-0.0017138878	0.0064634494
NC342:MRG:2:250040007	-0.01664947	-0.06452947	0.035781663	-0.16643165	-0.017586317
NC344:MRG:2:250040004	-0.014657933	-0.06937363	0.032595847	-0.16761181	-0.019544603
NC346:MRG:2:250040189	0.13259187	0.042289026	-0.008706626	0.014316383	0.018247254
NC348:MRG:2:250040064	0.12344294	0.038069542	-0.0046251914	0.008211298	0.013050545
NC350:MRG:8:250040836	0.12052849	0.04311677	-0.0047094566	0.009514894	0.017578876
NC350(Ames27171):62P7LAAXX:5:250028205	0.11771389	0.04425062	-0.005171589	0.008644551	0.017944396
NC352:MRG:2:250040179	0.13318492	0.043241285	-0.0073088533	0.012356686	0.017489178
NC354:MRG:2:250040079	0.12450672	0.042240627	-0.0046222126	0.010409084	0.018031625
NC356:C08L7ACXX:6:250047939	0.1034157	0.024016332	-0.0049297595	0.004204636	0.010391955
NC358:MRG:8:250040819	0.09778036	0.03012892	-0.014526212	0.0014216132	0.0061170217
NC358(Ames27175):709G4AAXX:3:250026355	0.09584293	0.030922063	-0.014202842	0.0013452391	0.006753813
NC360:MRG:2:250040155	0.04689035	-0.025677778	0.023096517	-0.12508109	-0.012480121
NC362:MRG:2:250040220	0.028547544	-0.0431125	0.025656251	-0.14894652	-0.01712123
NC364:C08L7ACXX:6:250047976	0.028724523	-0.043226518	0.025585499	-0.14878768	-0.017024556
NC366:MRG:2:250040172	0.04616907	-0.0029136627	0.011340551	-0.032118607	-0.006099458
NC368:MRG:2:250039784	-0.103386	0.12914899	-0.029349651	-0.02105506	0.08542379
